date,depression_word_count,total_articles,avg_depression_per_article
2017-01-01,30,15,2.0
2017-01-02,176,115,1.53
2017-01-03,2,2,1.0
2017-01-04,3,2,1.5
2017-01-06,6,2,3.0
2017-01-16,1,1,1.0
2017-01-17,1,1,1.0
2017-01-18,1,1,1.0
2017-01-19,3,1,3.0
2017-01-24,1,1,1.0
2017-01-27,1,1,1.0
2017-01-31,2,2,1.0
2017-02-01,1,1,1.0
2017-02-03,2,1,2.0
2017-02-06,4,1,4.0
2017-02-07,6,3,2.0
2017-02-08,2,2,1.0
2017-02-09,0,1,0.0
2017-02-10,2,2,1.0
2017-02-13,13,9,1.44
2017-02-14,120,65,1.85
2017-02-15,238,84,2.83
2017-02-17,1,1,1.0
2017-02-21,1,1,1.0
2017-03-02,2,1,2.0
2017-03-04,1,1,1.0
2017-03-05,1,1,1.0
2017-03-13,8,7,1.14
2017-03-21,4,1,4.0
2017-03-28,1,1,1.0
2017-03-30,11,3,3.67
2017-03-31,2,2,1.0
2017-04-02,1,1,1.0
2017-04-03,6,3,2.0
2017-04-04,2,2,1.0
2017-04-05,9,3,3.0
2017-04-06,5,5,1.0
2017-04-07,1,1,1.0
2017-04-10,1,1,1.0
2017-04-11,5,3,1.67
2017-04-12,3,4,0.75
2017-04-13,22,5,4.4
2017-04-14,1,1,1.0
2017-04-15,7,3,2.33
2017-04-16,5,3,1.67
2017-04-17,309,190,1.63
2017-04-18,161,94,1.71
2017-04-20,6,2,3.0
2017-04-21,2,2,1.0
2017-04-24,1,1,1.0
2017-04-26,2,1,2.0
2017-04-29,1,1,1.0
2017-05-02,4,4,1.0
2017-05-09,2,1,2.0
2017-05-10,1,1,1.0
2017-05-26,1,2,0.5
2017-06-02,2,1,2.0
2017-06-04,2,1,2.0
2017-06-06,18,2,9.0
2017-06-07,6,4,1.5
2017-06-08,3,2,1.5
2017-06-11,1,1,1.0
2017-06-12,2,2,1.0
2017-06-13,57,13,4.38
2017-06-14,209,130,1.61
2017-06-15,90,66,1.36
2017-06-17,5,3,1.67
2017-06-19,3,1,3.0
2017-06-20,1,1,1.0
2017-06-22,1,1,1.0
2017-06-26,1,1,1.0
2017-06-29,5,1,5.0
2017-07-01,1,1,1.0
2017-07-04,4,1,4.0
2017-07-05,5,2,2.5
2017-07-06,6,2,3.0
2017-07-11,1,1,1.0
2017-07-21,1,1,1.0
2017-07-25,1,1,1.0
2017-08-01,2,2,1.0
2017-08-02,1,1,1.0
2017-08-03,3,1,3.0
2017-08-06,1,1,1.0
2017-08-07,9,1,9.0
2017-08-08,8,4,2.0
2017-08-09,12,3,4.0
2017-08-10,2,2,1.0
2017-08-11,9,8,1.12
2017-08-12,3,3,1.0
2017-08-13,15,5,3.0
2017-08-14,371,204,1.82
2017-08-15,60,34,1.76
2017-08-22,1,2,0.5
2017-08-23,1,1,1.0
2017-08-27,1,1,1.0
2017-08-29,3,3,1.0
2017-09-04,1,1,1.0
2017-09-06,3,2,1.5
2017-09-07,1,1,1.0
2017-09-13,1,1,1.0
2017-09-22,1,1,1.0
2017-09-25,3,2,1.5
2017-09-26,16,3,5.33
2017-09-27,1,1,1.0
2017-09-28,1,1,1.0
2017-10-03,1,1,1.0
2017-10-04,7,6,1.17
2017-10-05,65,19,3.42
2017-10-06,306,180,1.7
2017-10-07,47,25,1.88
2017-10-10,1,1,1.0
2017-10-13,1,1,1.0
2017-10-16,1,1,1.0
2017-10-20,1,1,1.0
2017-10-22,1,1,1.0
2017-10-23,1,1,1.0
2017-10-26,39,1,39.0
2017-10-27,1,1,1.0
2017-10-30,1,1,1.0
2017-11-01,1,1,1.0
2017-11-02,3,2,1.5
2017-11-04,10,1,10.0
2017-11-06,1,1,1.0
2017-11-16,1,1,1.0
2017-11-30,1,1,1.0
2017-12-05,3,3,1.0
2017-12-06,8,4,2.0
2017-12-07,4,3,1.33
2017-12-08,4,3,1.33
2017-12-09,7,3,2.33
2017-12-10,18,16,1.12
2017-12-11,408,191,2.14
2017-12-12,61,37,1.65
2017-12-29,11,1,11.0
2018-01-05,1,1,1.0
2018-01-16,1,1,1.0
2018-01-26,17,1,17.0
2018-01-31,6,4,1.5
2018-02-01,13,10,1.3
2018-02-02,219,138,1.59
2018-02-03,216,128,1.69
2018-02-04,40,18,2.22
2018-02-05,1,1,1.0
2018-02-06,16,3,5.33
2018-02-15,1,1,1.0
2018-02-18,1,1,1.0
2018-02-19,9,2,4.5
2018-02-20,13,7,1.86
2018-02-23,1,1,1.0
2018-02-24,1,1,1.0
2018-02-25,1,1,1.0
2018-02-26,1,1,1.0
2018-02-27,1,1,1.0
2018-02-28,2,2,1.0
2018-03-01,1,1,1.0
2018-03-02,3,2,1.5
2018-03-03,4,3,1.33
2018-03-06,3,2,1.5
2018-03-09,2,2,1.0
2018-03-10,3,1,3.0
2018-03-15,4,4,1.0
2018-03-16,6,4,1.5
2018-03-17,1,1,1.0
2018-03-18,10,6,1.67
2018-03-19,240,173,1.39
2018-03-20,103,61,1.69
2018-03-30,2,1,2.0
2018-04-04,5,1,5.0
2018-04-05,3,2,1.5
2018-04-06,27,6,4.5
2018-04-07,12,1,12.0
2018-04-10,1,1,1.0
2018-04-11,2,1,2.0
2018-04-15,1,1,1.0
2018-04-16,1,1,1.0
2018-04-19,2,2,1.0
2018-04-20,3,3,1.0
2018-04-22,3,2,1.5
2018-04-23,21,15,1.4
2018-04-24,307,195,1.57
2018-04-25,43,23,1.87
2018-04-28,1,1,1.0
2018-05-04,1,1,1.0
2018-05-06,15,5,3.0
2018-05-12,3,1,3.0
2018-05-15,5,1,5.0
2018-05-17,4,1,4.0
2018-05-19,11,2,5.5
2018-05-21,2,1,2.0
2018-05-22,1,1,1.0
2018-05-23,2,2,1.0
2018-05-25,2,2,1.0
2018-05-28,1,1,1.0
2018-05-29,54,33,1.64
2018-05-30,360,220,1.64
2018-05-31,129,68,1.9
2018-06-07,1,1,1.0
2018-06-08,1,1,1.0
2018-06-20,2,2,1.0
2018-06-21,1,1,1.0
2018-06-26,1,1,1.0
2018-06-29,1,1,1.0
2018-07-02,7,5,1.4
2018-07-03,48,27,1.78
2018-07-04,206,136,1.51
2018-07-05,3,3,1.0
